exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2024-03-04,956,Scale-in Long,2,-357.64,-178.82,3.64,-399.82,53.18,9,True
2024-03-06,957,ORB Long,2,-573.64,-286.82,3.64,-571.82,189.18,15,False
2024-03-06,958,Scale-in Long,2,-705.64,-352.82,3.64,-703.82,57.18,14,True
2024-03-07,959,ORB Long,2,92.36,46.18,3.64,-29.82,536.18,23,False
2024-03-08,960,ORB Long,2,-792.64,-396.32,3.64,-790.82,193.18,7,False
2024-03-12,961,ORB Long,2,524.36,262.18,3.64,-65.82,605.18,26,False
2024-03-18,962,ORB Long,2,-480.64,-240.32,3.64,-559.82,133.18,27,False
2024-03-19,963,ORB Long,2,477.36,238.68,3.64,-83.82,544.18,21,False
2024-03-20,964,ORB Long,2,822.36,411.18,3.64,-195.82,840.18,11,False
2024-03-22,965,ORB Long,2,54.36,27.18,3.64,-185.82,311.18,20,False
2024-03-25,966,ORB Long,2,201.36,100.68,3.64,0.0,358.18,27,False
2024-03-26,967,ORB Long,2,-453.64,-226.82,3.64,-451.82,55.18,22,False
2024-03-28,968,ORB Long,2,-195.64,-97.82,3.64,-264.82,103.18,28,False
2024-04-02,969,ORB Long,2,188.36,94.18,3.64,-110.82,208.18,15,False
2024-04-03,970,ORB Long,2,363.36,181.68,3.64,0.0,671.18,10,False
2024-04-05,971,ORB Long,2,322.36,161.18,3.64,-128.82,804.18,16,False
2024-04-05,972,Scale-in Long,2,190.36,95.18,3.64,-232.82,672.18,15,True
2024-04-08,973,ORB Long,2,-212.64,-106.32,3.64,-445.82,55.18,25,False
2024-04-09,974,ORB Long,2,-90.64,-45.32,3.64,-100.82,7.18,3,False
2024-04-10,976,Scale-in Long,2,-26.64,-13.32,3.64,-333.82,118.18,25,True
2024-04-10,975,ORB Long,2,-24.64,-12.32,3.64,-331.82,141.18,27,False
2024-04-11,977,ORB Long,2,820.36,410.18,3.64,-89.82,962.18,21,False
2024-04-12,978,ORB Long,2,-577.64,-288.82,3.64,-575.82,2.18,4,False
2024-04-16,979,ORB Long,2,-13.64,-6.82,3.64,-321.82,358.18,28,False
2024-04-16,980,Scale-in Long,2,-72.64,-36.32,3.64,-380.82,299.18,27,True
2024-04-18,981,ORB Long,2,-656.64,-328.32,3.64,-753.82,210.18,25,False
2024-04-18,982,Scale-in Long,2,-700.64,-350.32,3.64,-797.82,166.18,25,True
2024-04-22,983,ORB Long,2,-440.64,-220.32,3.64,-438.82,23.18,1,False
2024-04-22,984,Scale-in Long,2,-288.64,-144.32,3.64,-286.82,29.18,1,True
2024-04-23,986,Scale-in Long,2,591.36,295.68,3.64,-16.82,623.18,27,True
2024-04-23,985,ORB Long,2,630.36,315.18,3.64,-101.82,662.18,28,False
2024-04-25,988,Scale-in Long,2,1616.36,808.18,3.64,-280.82,1618.18,24,True
2024-04-25,987,ORB Long,2,1757.36,878.68,3.64,-139.82,1759.18,24,False
2024-04-26,989,ORB Long,2,206.36,103.18,3.64,-64.82,466.18,28,False
2024-04-26,990,Scale-in Long,2,16.36,8.18,3.64,-203.82,276.18,27,True
2024-04-30,991,ORB Long,2,-630.64,-315.32,3.64,-628.82,31.18,10,False
2024-04-30,992,Scale-in Long,2,-557.64,-278.82,3.64,-555.82,50.18,10,True
2024-05-01,993,ORB Long,2,-119.64,-59.82,3.64,-170.82,185.18,2,False
2024-05-01,994,Scale-in Long,2,766.36,383.18,3.64,-80.82,1071.18,3,True
2024-05-02,995,ORB Long,2,561.36,280.68,3.64,-112.82,608.18,14,False
2024-05-02,996,Scale-in Long,2,601.36,300.68,3.64,-46.82,648.18,13,True
2024-05-03,998,Scale-in Long,2,399.36,199.68,3.64,-134.82,407.18,27,True
2024-05-03,997,ORB Long,2,109.36,54.68,3.64,-424.82,201.18,28,False
2024-05-06,999,ORB Long,2,302.36,151.18,3.64,-172.82,365.18,28,False
2024-05-06,1000,Scale-in Long,2,349.36,174.68,3.64,-125.82,412.18,27,True
2024-05-09,1001,ORB Long,2,60.36,30.18,3.64,-138.82,141.18,25,False
2024-05-09,1002,Scale-in Long,2,74.36,37.18,3.64,-124.82,155.18,25,True
2024-05-14,1003,ORB Long,2,364.36,182.18,3.64,-141.82,460.18,26,False
2024-05-14,1004,Scale-in Long,2,178.36,89.18,3.64,-327.82,274.18,26,True
2024-05-15,1005,ORB Long,2,645.36,322.68,3.64,-20.82,697.18,26,False
2024-05-15,1006,Scale-in Long,2,648.36,324.18,3.64,-17.82,700.18,26,True
2024-05-16,1007,ORB Long,2,36.36,18.18,3.64,-141.82,207.18,9,False
2024-05-16,1008,Scale-in Long,2,77.36,38.68,3.64,-12.82,248.18,8,True
2024-05-20,1010,Scale-in Long,2,-33.64,-16.82,3.64,-183.82,165.18,26,True
2024-05-20,1009,ORB Long,2,-21.64,-10.82,3.64,-171.82,177.18,28,False
2024-05-21,1011,ORB Long,2,337.36,168.68,3.64,-16.82,376.18,27,False
2024-05-21,1012,Scale-in Long,2,336.36,168.18,3.64,-17.82,375.18,27,True
2024-05-22,1013,ORB Long,2,-380.64,-190.32,3.64,-378.82,45.18,16,False
2024-05-22,1014,Scale-in Long,2,-374.64,-187.32,3.64,-372.82,51.18,16,True
2024-05-24,1015,ORB Long,2,325.36,162.68,3.64,0.0,592.18,20,False
2024-05-24,1016,Scale-in Long,2,271.36,135.68,3.64,-4.82,538.18,20,True
2024-05-28,1017,ORB Long,2,48.36,24.18,3.64,-472.82,119.18,21,False
2024-05-28,1018,Scale-in Long,2,53.36,26.68,3.64,-467.82,124.18,13,True
2024-05-29,1020,Scale-in Long,2,-368.64,-184.32,3.64,-393.82,167.18,27,True
2024-05-29,1019,ORB Long,2,-344.64,-172.32,3.64,-369.82,191.18,28,False
2024-06-04,1022,Scale-in Long,2,502.36,251.18,3.64,-37.82,693.18,27,True
2024-06-04,1021,ORB Long,2,-11.64,-5.82,3.64,-323.82,407.18,20,False
2024-06-05,1023,ORB Long,2,918.36,459.18,3.64,-230.82,933.18,28,False
2024-06-05,1024,Scale-in Long,2,1014.36,507.18,3.64,-31.82,1029.18,27,True
2024-06-07,1025,ORB Long,2,113.36,56.68,3.64,-123.82,436.18,16,False
2024-06-07,1026,Scale-in Long,2,141.36,70.68,3.64,-95.82,464.18,15,True
2024-06-10,1027,ORB Long,2,109.36,54.68,3.64,-7.82,388.18,16,False
2024-06-10,1028,Scale-in Long,2,62.36,31.18,3.64,-54.82,341.18,16,True
2024-06-11,1029,ORB Long,2,636.36,318.18,3.64,-100.82,678.18,26,False
2024-06-11,1030,Scale-in Long,2,558.36,279.18,3.64,-178.82,600.18,25,True
2024-06-12,1031,ORB Long,2,472.36,236.18,3.64,-232.82,483.18,28,False
2024-06-12,1032,Scale-in Long,2,397.36,198.68,3.64,-307.82,408.18,27,True
2024-06-14,1034,Scale-in Long,2,282.36,141.18,3.64,-246.82,300.18,26,True
2024-06-14,1033,ORB Long,2,223.36,111.68,3.64,-305.82,241.18,28,False
2024-06-18,1035,ORB Long,2,-45.64,-22.82,3.64,-239.82,36.18,12,False
2024-06-21,1036,ORB Long,2,-152.64,-76.32,3.64,-396.82,106.18,20,False
2024-06-24,1037,ORB Long,2,-790.64,-395.32,3.64,-788.82,118.18,18,False
2024-06-25,1038,ORB Long,2,159.36,79.68,3.64,0.0,485.18,11,False
2024-06-26,1039,ORB Long,2,-81.64,-40.82,3.64,-241.82,222.18,28,False
2024-06-27,1040,ORB Long,2,-141.64,-70.82,3.64,-590.82,58.18,27,False
2024-06-28,1041,ORB Long,2,95.36,47.68,3.64,-2.82,497.18,3,False
2024-07-01,1042,ORB Long,2,221.36,110.68,3.64,-35.82,350.18,19,False
2024-07-02,1043,ORB Long,2,623.36,311.68,3.64,-274.82,703.18,27,False
2024-07-03,1044,ORB Long,2,483.36,241.68,3.64,-164.82,636.18,14,False
2024-07-05,1045,ORB Long,2,299.36,149.68,3.64,-209.82,500.18,28,False
2024-07-08,1046,ORB Long,2,153.36,76.68,3.64,-146.82,170.18,22,False
2024-07-09,1047,ORB Long,2,-470.64,-235.32,3.64,-468.82,26.18,11,False
2024-07-10,1048,ORB Long,2,506.36,253.18,3.64,-263.82,594.18,27,False
2024-07-12,1049,ORB Long,2,163.36,81.68,3.64,-84.82,505.18,9,False
2024-07-15,1050,ORB Long,2,98.36,49.18,3.64,-66.82,521.18,7,False
2024-07-22,1051,ORB Long,2,5.36,2.68,3.64,-683.82,257.18,27,False
2024-07-23,1052,ORB Long,2,-361.64,-180.82,3.64,-525.82,202.18,26,False
