n,exp,pf,wr,profitR,maxddR,fast,slow,session,volfloor,k,exit,req_exp
113,0.03492429523587053,1.0666873888216393,0.45132743362831856,3.94644536165337,8.382529522525086,20,100,ny0812,True,2.0,tp2.0,0.2917355946569393
109,-0.07775552499402495,0.8594416731818064,0.42201834862385323,-8.47535222434872,12.798086323704851,20,100,ny0812,True,2.0,tp3.0,0.2917355946569393
123,-0.11018878542777963,0.7571401850235977,0.37398373983739835,-13.553220607616895,15.166007727397664,20,100,ny0812,True,2.0,trail2.0,0.2917355946569393
117,-0.1073735528848641,0.7972897786041958,0.37606837606837606,-12.5627056875291,15.168534155841014,20,100,ny0812,True,2.0,trail3.0,0.2917355946569393
109,0.04874138752354246,1.1114914903825732,0.5045871559633027,5.312811240066129,8.271725778492137,20,100,ny0812,True,2.5,tp1.5,0.23338847572555144
104,-0.05397310252351454,0.8872536832915044,0.46153846153846156,-5.613202662445512,10.15583580865598,20,100,ny0812,True,2.5,tp2.0,0.23338847572555144
103,-0.07189398114281075,0.8502720333000575,0.4563106796116505,-7.405080057709506,10.205146262006034,20,100,ny0812,True,2.5,tp3.0,0.23338847572555144
121,-0.08502651886035506,0.7697939712014651,0.39669421487603307,-10.288208782102963,11.578438477927579,20,100,ny0812,True,2.5,trail2.0,0.23338847572555144
111,-0.054152553529758486,0.8722949050627806,0.4144144144144144,-6.010933441803192,8.400393793881497,20,100,ny0812,True,2.5,trail3.0,0.23338847572555144
100,0.01882202323429094,1.0480174430369067,0.49,1.882202323429094,8.179595656748553,20,100,ny0812,True,3.0,tp1.5,0.19449039643795954
96,-0.048757353684210386,0.8792533392848211,0.46875,-4.680705953684197,8.197421749467711,20,100,ny0812,True,3.0,tp2.0,0.19449039643795954
96,-0.04483270720350945,0.8889726517828183,0.46875,-4.303939891536907,8.160597375655566,20,100,ny0812,True,3.0,tp3.0,0.19449039643795954
118,-0.06335521618090978,0.7897849512432286,0.3983050847457627,-7.475915509347353,9.72985495852696,20,100,ny0812,True,3.0,trail2.0,0.19449039643795954
107,-0.04388997238957344,0.8759345228713753,0.4205607476635514,-4.696227045684358,7.079765397269969,20,100,ny0812,True,3.0,trail3.0,0.19449039643795954
302,0.061698363427785605,1.1082982103845835,0.46688741721854304,18.632905755191253,13.71441147634343,20,100,ln0312,False,1.5,tp1.5,0.3889807928759191
282,0.07026805448652503,1.111172407106808,0.41134751773049644,19.815591365200056,13.5580114537638,20,100,ln0312,False,1.5,tp2.0,0.3889807928759191
260,0.06202914302663301,1.0881269414737886,0.34615384615384615,16.127577186924583,17.30213913763014,20,100,ln0312,False,1.5,tp3.0,0.3889807928759191
285,0.04227700681426814,1.0750706927727545,0.37543859649122807,12.048946942066419,19.51125301778466,20,100,ln0312,False,1.5,trail2.0,0.3889807928759191
260,0.010487673088985053,1.0164768010876026,0.3384615384615385,2.7267950031361137,22.443989489357747,20,100,ln0312,False,1.5,trail3.0,0.3889807928759191
249,0.09028690526174135,1.1729286154515621,0.4899598393574297,22.481439410173596,7.864338260586086,20,100,ln0312,False,2.0,tp1.5,0.2917355946569393
237,0.11462353333693003,1.2020921620225624,0.4430379746835443,27.165777400852416,10.374012599532865,20,100,ln0312,False,2.0,tp2.0,0.2917355946569393
218,0.01683359799644985,1.026790288025671,0.38990825688073394,3.669724363226067,14.699857279728697,20,100,ln0312,False,2.0,tp3.0,0.2917355946569393
265,0.019135371969606223,1.042144010715904,0.4075471698113208,5.070873571945649,16.972378470510698,20,100,ln0312,False,2.0,trail2.0,0.2917355946569393
232,0.021569184414042642,1.0414603926130142,0.3879310344827586,5.004050784057893,12.204705186361025,20,100,ln0312,False,2.0,trail3.0,0.2917355946569393
217,0.12102972417428966,1.2562358161132343,0.5069124423963134,26.263450145820855,6.963285326889061,20,100,ln0312,False,2.5,tp1.5,0.23338847572555144
205,0.06512112335944616,1.124261589929992,0.45365853658536587,13.349830288686462,7.828680149355222,20,100,ln0312,False,2.5,tp2.0,0.23338847572555144
197,0.005444530393996332,1.0098991795500947,0.4263959390862944,1.0725724876172773,9.86383470770873,20,100,ln0312,False,2.5,tp3.0,0.23338847572555144
259,0.012668107639246967,1.0336055257580663,0.4247104247104247,3.2810398785649646,11.992507011234864,20,100,ln0312,False,2.5,trail2.0,0.23338847572555144
