n,exp,pf,wr,profitR,maxddR,family,param,session,volfloor,k,exit,hurdle_R,req_exp,pass_hurdle
168,-0.13364712325356937,0.7607939783376574,0.40476190476190477,-22.452716706599656,31.912325203076264,donchian,12,ny0812,False,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
159,-0.12155795310052753,0.7927734105022047,0.37735849056603776,-19.327714542983877,37.7980152802002,donchian,12,ny0812,False,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
152,-0.16675003458295096,0.7227838636214082,0.3684210526315789,-25.346005256608546,32.79654993756356,donchian,12,ny0812,False,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
168,-0.14865887042836606,0.688894125481458,0.30952380952380953,-24.974690231965496,28.970488816288626,donchian,12,ny0812,False,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
158,-0.1617736381672543,0.7132594522090181,0.34810126582278483,-25.56023483042618,33.8142484511463,donchian,12,ny0812,False,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
155,-0.11122980967777756,0.780788202139084,0.4,-17.24062050005552,28.706425774394518,donchian,12,ny0812,False,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
149,-0.14344306431085427,0.7348311241669172,0.3825503355704698,-21.373016582317284,30.720647612160604,donchian,12,ny0812,False,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
145,-0.14832863826777595,0.7255073649827356,0.3793103448275862,-21.50765254882751,27.976265717190774,donchian,12,ny0812,False,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
167,-0.12191860197509916,0.6984245707843852,0.32335329341317365,-20.36040652984156,25.148953410156917,donchian,12,ny0812,False,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
153,-0.15258946521432565,0.692955055194327,0.35947712418300654,-23.346188177791824,29.49577641272743,donchian,12,ny0812,False,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
167,-0.19781879823169723,0.7005724614130373,0.3592814371257485,-33.035739304693436,42.29771111635343,donchian,12,ny0812,True,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
159,-0.2084593936983212,0.704316873737343,0.32075471698113206,-33.14504359803307,40.01529968745172,donchian,12,ny0812,True,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
151,-0.22500142325305028,0.6992505581237847,0.26490066225165565,-33.97521491121059,41.81332327111415,donchian,12,ny0812,True,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
149,-0.29829673655673017,0.5780919959033324,0.2214765100671141,-44.44621374695279,47.520237914276535,donchian,12,ny0812,True,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
145,-0.24425955247845552,0.6806092526918325,0.2413793103448276,-35.41763510937605,41.6723845921304,donchian,12,ny0812,True,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
152,-0.20828167865789773,0.6684022928019135,0.3815789473684211,-31.658815156000458,37.44291498912684,donchian,12,ny0812,True,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
148,-0.22696905549861845,0.656622742392235,0.3310810810810811,-33.59142021379553,37.973885002473516,donchian,12,ny0812,True,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
139,-0.21497085840953026,0.6879717021013433,0.30935251798561153,-29.880949318924706,34.73411381214074,donchian,12,ny0812,True,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
143,-0.2599237670950256,0.5678139567381456,0.2517482517482518,-37.16909869458866,40.3361988667023,donchian,12,ny0812,True,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
138,-0.22994689054316877,0.6620141178005495,0.2971014492753623,-31.73267089495729,37.1120126705157,donchian,12,ny0812,True,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
141,-0.2119285921662557,0.6381910299449522,0.375886524822695,-29.881931495442053,35.512440703403264,donchian,12,ny0812,True,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
134,-0.18605475083117712,0.6917031399266379,0.3582089552238806,-24.931336611377734,35.293111163950016,donchian,12,ny0812,True,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
130,-0.2282780457431416,0.629179258741745,0.3384615384615385,-29.676145946608408,34.02254229051768,donchian,12,ny0812,True,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
139,-0.21679941932196056,0.57204970870997,0.2733812949640288,-30.135119285752516,32.883176367077425,donchian,12,ny0812,True,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
132,-0.21281603501018903,0.6443900365007512,0.32575757575757575,-28.09171662134495,36.023206059079,donchian,12,ny0812,True,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
130,-0.1606107024113256,0.6876197603987763,0.36923076923076925,-20.87939131347233,29.3431581350832,donchian,12,ny0812,True,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
125,-0.17653283430280636,0.6716838274316178,0.352,-22.066604287850794,28.99053151904563,donchian,12,ny0812,True,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
