,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2016-06-30,-0.5815693334968864,1.591719374196923,-0.6062435067882485,1.95979140629806,0.590924485052462,1.0851247282523542,off,off
2016-07-01,-0.6687536839431426,1.6394018084892221,-0.5562428159855677,1.887169612382328,0.5753937302357099,1.0267323052023514,off,off
2016-07-05,-0.5862627676367872,1.7223917735022427,-0.44622131778220586,1.960182285453308,0.6625224933841394,1.18136059768974,off,off
2016-07-06,-0.6490847902035192,1.696805261553849,-0.5052756512933066,1.942317997824985,0.6211907044705021,1.114962818002945,off,off
2016-07-07,-0.6692082279857603,1.684849731222179,-0.486482123812851,1.979149121777592,0.62707712530029,1.1370457913969196,off,off
2016-07-08,-0.8275146472677615,1.6128914006225887,-0.6152197616170948,1.9727505360276976,0.5357268819413575,1.0028352322133458,off,off
2016-07-11,-0.7926671189366852,1.5821923602199541,-0.6888048566849092,2.009449348727401,0.5275424333314402,1.011398479576568,off,off
2016-07-12,-0.7913739683808768,1.5017394627425371,-0.6404729611248426,1.9886252718100441,0.5146294512617154,0.9806428687882525,off,off
2016-07-13,-0.842928310524037,1.5644521149172501,-0.6338630729481244,1.9549629083602977,0.5106559099513466,0.9608416569658396,off,off
2016-07-14,-0.8649779267543142,1.522012220858846,-0.5779602721364792,1.9328766637284494,0.5029876714241255,0.9361530969940896,off,off
2016-07-15,-0.8798989965539231,1.5037652819987768,-0.5424945573460559,2.0025377738308836,0.5209773754824203,0.9888567248465057,off,off
2016-07-18,-0.9029410568832589,1.4708856729320332,-0.596323831962743,1.9975270552146465,0.49228695982516946,0.947206557491709,off,off
2016-07-19,-0.9503592936752344,1.5119022441267205,-0.6658930086030809,2.065482547934469,0.4902831224457186,0.9756517720705431,off,off
2016-07-20,-0.9702991338960142,1.4836964079646582,-0.6624771139268658,2.084593613192479,0.4838784433335643,0.9760993627629869,off,off
2016-07-21,-0.8713047943328605,1.5064802585673855,-0.6266643752172903,2.053648659925515,0.5155399372356875,1.0099471753099898,off,off
2016-07-22,-0.9441632234224822,1.4585231122875248,-0.6834002938880647,2.1184351155429177,0.4873486776299739,0.9972536865896641,off,off
2016-07-25,-0.8573785012535491,1.497072313642456,-0.7170503266924957,2.0902844952755766,0.5032319952429969,1.0132714344388776,off,off
2016-07-26,-0.8387614459026513,1.5230366563407198,-0.7165263572813624,2.0693632736252248,0.5092780316954827,1.013926200753815,off,off
2016-07-27,-0.8608234519857799,1.5321842491874487,-0.7781947957310434,2.0513652546781556,0.4861328140371952,0.9786607156169113,off,off
2016-07-28,-0.871687533140179,1.561296725437967,-0.7770521414810245,2.0049638856161214,0.4793802341082212,0.9490007756941651,off,off
2016-07-29,-0.9577815533313268,1.5852360277819264,-0.8503728687495856,1.8306634173808045,0.40193625577045466,0.7649449256224918,off,off
2016-08-01,-0.8994366872799703,1.6012878553904992,-0.8640771639986071,1.854567137441032,0.4230852853882384,0.8082974482931792,off,off
2016-08-02,-0.8045224629870124,1.5610421479409435,-0.7416797209468045,1.760403005849054,0.44381074246404517,0.7930503616413176,off,off
2016-08-03,-0.8561047335580111,1.530264832626294,-0.7431872268470736,1.8299207612278445,0.4402234083622635,0.8174461600027931,off,off
2016-08-04,-0.9005349404208287,1.5094928505021599,-0.7630977027028012,1.8566318459434603,0.42562301333049757,0.8076904264771819,off,off
2016-08-05,-1.0049295829995804,1.4494227044837655,-0.7777397786241336,1.9159065087012885,0.39566496289033504,0.787481327191583,off,off
2016-08-08,-0.9933143869159115,1.4161726873394234,-0.8093191436962236,1.9437891451892644,0.3893320754791382,0.7922152924235673,off,off
2016-08-09,-0.9766246450079463,1.4376027112712109,-0.8440943356272658,1.9106283672418298,0.3818780244694572,0.7699957055055671,off,off
2016-08-10,-0.9365590968648893,1.4806995592468633,-0.8718360040678793,1.8336425497949675,0.37648675202726556,0.7344747468255717,off,off
2016-08-11,-0.9738124779020972,1.4256365792548324,-0.8145315733493182,1.8616857756261747,0.3747445759073979,0.7390659017601506,off,off
2016-08-12,-0.9866294507204345,1.4596929900070998,-0.8411280800964003,1.8401027051482186,0.3680095410846209,0.7217246237447605,neutral,off
2016-08-15,-0.9597754817787896,1.4015344826277316,-0.8583571487023174,1.825655068089443,0.3522642300590169,0.693959815472724,neutral,off
2016-08-16,-0.8749708002554252,1.4034502937667104,-0.8609632304335686,1.7051662052973884,0.3431706170937763,0.6311290104592039,neutral,off
2016-08-17,-0.9204125930697623,1.4154550674480708,-0.8644444574201019,1.6938546838419248,0.33111317520003286,0.6095583528040702,neutral,off
2016-08-18,-0.9973486563861902,1.4004658108620074,-0.8609090381354605,1.6133023551810832,0.28887761788036,0.5117622491861288,neutral,off
2016-08-19,-1.0060799788044277,1.3996337955516855,-0.8263922345669418,1.6615322175953862,0.3071734499439256,0.5566092580466856,neutral,off
2016-08-22,-0.9110643590202891,1.4458727409531953,-0.7369343070073071,1.6616204011173568,0.36487361901073895,0.6366658110312426,neutral,off
2016-08-23,-0.8995224076252225,1.4241116599894472,-0.7732402055901397,1.663121890616039,0.35361773434753097,0.6234470176250502,neutral,off
2016-08-24,-0.7903298195358124,1.443129850268749,-0.7761949424568219,1.6970834330146438,0.3934221303226897,0.6989812332412096,off,off
2016-08-25,-0.7717445077536794,1.4157678851183033,-0.6925893287838858,1.6928679973491558,0.41107551148247345,0.7173211913750565,off,off
2016-08-26,-0.7694489654095595,1.39606058179869,-0.6373863866059543,1.8042970982402,0.4483805820058441,0.8157394716894637,off,off
2016-08-29,-0.8414374136645079,1.4017845103698359,-0.7141279431333594,1.804083871256833,0.41257575620720044,0.7675770709317347,off,off
2016-08-30,-0.822816727322927,1.3833625853686247,-0.6992731868031054,1.8686633679198645,0.4324840097906142,0.8235430959703323,off,off
2016-08-31,-0.7919941337511731,1.4155034924199557,-0.6999308690104666,1.8626668951905405,0.4465613462122141,0.8431216182165304,off,off
