time,structBias
1682892000,1
1683496800,1
1684101600,1
1684706400,1
1685311200,1
1685916000,1
1686520800,1
1687125600,1
1687730400,1
1688335200,1
1688940000,1
1689544800,1
1690149600,1
1690754400,1
1691359200,1
1691964000,1
1692568800,1
1693173600,1
1693778400,1
1694383200,1
1694988000,-1
1695592800,-1
1696197600,-1
1696802400,-1
1697407200,-1
1698012000,-1
1698616800,1
1699225200,1
1699830000,1
1700434800,1
1701039600,1
1701644400,1
1702249200,1
1702854000,1
1703458800,1
1704063600,1
1704668400,1
1705273200,1
1705878000,1
1706482800,1
1707087600,1
1707692400,1
1708297200,1
1708902000,1
1709506800,1
1710108000,1
1710712800,1
1711317600,1
1711922400,1
1712527200,1
1713132000,1
1713736800,1
1714341600,1
1714946400,1
1715551200,1
1716156000,1
1716760800,1
1717365600,1
1717970400,1
1718575200,1
1719180000,1
1719784800,1
1720389600,1
1720994400,1
1721599200,1
1722204000,1
1722808800,1
1723413600,1
1724018400,1
1724623200,1
1725228000,-1
1725832800,1
1726437600,1
1727042400,1
1727647200,1
1728252000,1
1728856800,1
1729461600,1
1730066400,1
1730674800,1
1731279600,1
1731884400,1
1732489200,1
1733094000,1
1733698800,1
1734303600,1
1734908400,1
1735513200,1
1736118000,-1
1736722800,1
1737327600,1
1737932400,1
1738537200,1
1739142000,1
1739746800,1
1740351600,1
1740956400,-1
1741557600,-1
1742162400,-1
1742767200,-1
1743372000,-1
1743976800,-1
1744581600,-1
1745186400,-1
1745791200,1
1746396000,-1
1747000800,1
1747605600,1
1748210400,1
1748815200,1
1749420000,1
1750024800,1
1750629600,1
1751234400,1
1751839200,1
1752444000,1
1753048800,1
1753653600,1
1754258400,1
1754863200,1
1755468000,1
1756072800,1
1756677600,1
1757282400,1
1757887200,1
1758492000,1
1759096800,1
1759701600,1
1760306400,1
1760911200,1
1761516000,1
1762124400,1
1762729200,1
1763334000,1
1763938800,1
1764543600,1
1765148400,1
1765753200,1
1766358000,1
1766962800,1
1767567600,1
1768172400,1
1768777200,1
1769382000,1
1769986800,1
1770591600,1
1771196400,1
1771801200,1
1772406000,-1
1773007200,-1
1773612000,-1
1774216800,-1
1774821600,-1
1775426400,1
1776031200,1
1776636000,1
1777240800,1
1777845600,1
1778450400,1
1779055200,1
1779660000,1
1780264800,1
1780869600,1
1781474400,1
